,Date,Media Sources,Negative,Neutral,Positive,Source Account,Tweet Polarity,Tweets Ago
206,Sun Jan 07 03:18:48 +0000 2018,CNN,0.0,1.0,0.0,Jake Tapper,0.0,7
207,Sun Jan 07 03:18:47 +0000 2018,CNN,0.0,1.0,0.0,RΣSTΔRTΣD 🚀,0.0,8
208,Sun Jan 07 03:18:47 +0000 2018,CNN,0.0,0.81,0.19,Swing Left,0.6114,9
209,Sun Jan 07 03:18:47 +0000 2018,CNN,0.0,1.0,0.0,Mario,0.0,10
210,Sun Jan 07 03:18:47 +0000 2018,CNN,0.158,0.658,0.184,CNN,0.1027,11
211,Sun Jan 07 03:18:46 +0000 2018,CNN,0.277,0.723,0.0,Democrats for Trump,-0.7841,12
212,Sun Jan 07 03:18:46 +0000 2018,CNN,0.095,0.905,0.0,Jake Tapper,-0.25,13
213,Sun Jan 07 03:18:45 +0000 2018,CNN,0.0,0.902,0.098,Robby Ball,0.0772,14
214,Sun Jan 07 03:18:45 +0000 2018,CNN,0.0,1.0,0.0,CNN Politics,0.0,15
215,Sun Jan 07 03:18:45 +0000 2018,CNN,0.0,0.8,0.2,CNN,0.3612,16
216,Sun Jan 07 03:18:45 +0000 2018,CNN,0.0,1.0,0.0,Molly Jong-Fast🌨,0.0,17
217,Sun Jan 07 03:18:45 +0000 2018,CNN,0.0,1.0,0.0,Hartosh Singh Bal,0.0,18
218,Sun Jan 07 03:18:45 +0000 2018,CNN,0.243,0.757,0.0,CNN,-0.7269,19
219,Sun Jan 07 03:18:44 +0000 2018,CNN,0.0,0.8,0.2,CNN,0.3612,20
220,Sun Jan 07 03:18:44 +0000 2018,CNN,0.0,0.408,0.592,H—,0.7003,21
221,Sun Jan 07 03:18:44 +0000 2018,CNN,0.0,1.0,0.0,Ana Cabrera,0.0,22
222,Sun Jan 07 03:18:43 +0000 2018,CNN,0.264,0.736,0.0,CNN Politics,-0.7269,23
223,Sun Jan 07 03:18:43 +0000 2018,CNN,0.0,0.732,0.268,Bill Browder,0.765,24
224,Sun Jan 07 03:18:42 +0000 2018,CNN,0.0,1.0,0.0,Brian Stelter,0.0,25
225,Sun Jan 07 03:18:42 +0000 2018,CNN,0.198,0.729,0.073,Philip Schuyler,-0.5574,26
226,Sun Jan 07 03:18:42 +0000 2018,CNN,0.0,1.0,0.0,CNN,0.0,27
227,Sun Jan 07 03:18:40 +0000 2018,CNN,0.0,0.868,0.132,Emoluments Clause,0.4648,28
228,Sun Jan 07 03:18:40 +0000 2018,CNN,0.0,1.0,0.0,Jason Bailey,0.0,29
229,Sun Jan 07 03:18:40 +0000 2018,CNN,0.143,0.759,0.097,TrumpsBlonde™ Angie🐇,-0.2732,30
230,Sun Jan 07 03:18:40 +0000 2018,CNN,0.0,0.802,0.198,CountingPropaganda,0.6351,31
231,Sun Jan 07 03:18:39 +0000 2018,CNN,0.642,0.358,0.0,"Ryan Knight, PROUD RESISTER 👊",-0.9826,32
232,Sun Jan 07 03:18:39 +0000 2018,CNN,0.0,1.0,0.0,Peter J. Hasson,0.0,33
233,Sun Jan 07 03:18:38 +0000 2018,CNN,0.0,1.0,0.0,YouTube,0.0,34
234,Sun Jan 07 03:18:38 +0000 2018,CNN,0.0,0.714,0.286,Time For Change UK,0.4215,35
235,Sun Jan 07 03:18:38 +0000 2018,CNN,0.0,1.0,0.0,CNN,0.0,36
236,Sun Jan 07 03:18:38 +0000 2018,CNN,0.256,0.744,0.0,Dr. DaShanne Stokes,-0.6705,37
237,Sun Jan 07 03:18:38 +0000 2018,CNN,0.147,0.711,0.142,sт🛑ρ cεηs🚫яιηg c⭕️ηsεяvαтιvεs ᴛᴍ,-0.0258,38
238,Sun Jan 07 03:18:38 +0000 2018,CNN,0.0,1.0,0.0,Peter J. Hasson,0.0,39
239,Sun Jan 07 03:18:37 +0000 2018,CNN,0.315,0.685,0.0,CNN,-0.8481,40
240,Sun Jan 07 03:18:37 +0000 2018,CNN,0.116,0.773,0.111,🌎 Jeremy Andrews 🌍,-0.0258,41
241,Sun Jan 07 03:18:37 +0000 2018,CNN,0.243,0.757,0.0,CNN,-0.7269,42
242,Sun Jan 07 03:18:37 +0000 2018,CNN,0.0,0.892,0.108,Rob,0.4648,43
243,Sun Jan 07 03:18:36 +0000 2018,CNN,0.0,1.0,0.0,CNN,0.0,44
